username, created_at, lng, lat, text
drmathematix, Sat Jan 30 01:56:43 +0000 2021, -77.014398, 38.898603, This ni99a spittin!!!! 
KiniroTonada, Sat Jan 30 01:56:43 +0000 2021, -117.673254, 33.987333, @AdamAta64 https://t.co/GtNOrl5U67 
tmthyXryn, Sat Jan 30 01:56:43 +0000 2021, -83.804475, 27.698682, @awonderland Hey! 🛐🎶 
OhLordByron, Sat Jan 30 01:56:43 +0000 2021, -97.543490, 35.547543, First round of looks my faves are Utica, Tamisha, and Rosé. Not feeling Tina Burner or Elliott’s first look. Seen it these before. 
haitianmay_, Sat Jan 30 01:56:43 +0000 2021, -80.138645, 26.251895, not they soul 🤣🤣 
AaronTrevyzo, Sat Jan 30 01:56:43 +0000 2021, -105.123320, 39.685852, @lopezobrador_ ÁNIMO PRESIDENTE FUERZA ÁNIMO USTED ES EL MEJOR PRESIDENTE  Y LOS PATRIOTAS AMLOVERS ORACIÓN 🙏🏼 
JaeDeLaSoul, Sat Jan 30 01:56:43 +0000 2021, -87.725901, 41.938324, -get it how you live i guess. 
iammjmeng, Sat Jan 30 01:56:43 +0000 2021, -118.244500, 34.056400, Building blocks cus it’s go time. Here we go! #newmusic #newsong #under #verysoon 🌊💫 partnering with AGPR 🙌🏼 @ Los… https://t.co/PZozP4Rx1N 
darynelweekly, Sat Jan 30 01:56:43 +0000 2021, -78.822218, 43.830985, This blc man 
LaurieWalters19, Sat Jan 30 01:56:43 +0000 2021, -83.876780, 34.223621, #MattGaetzIsATool It should beMattGaetzIsASTOOL 🤣🤣 https://t.co/93A4Wosdl2 
RayDragoo, Sat Jan 30 01:56:44 +0000 2021, -92.436774, 38.304558, My Pillow Announces Delays in Shipments Following "Overwhelming Support" for Company and Its Founder Mike Lindell… https://t.co/NdO0kskE3d 
JaretBin, Sat Jan 30 01:56:44 +0000 2021, -78.895441, 35.990983, @JCSourwine Goga goodga! All we need him to give is some rest to Turner or Sabonis and be net neutral in that time.… https://t.co/ydb13fBujH 
mikeviimusic, Sat Jan 30 01:56:44 +0000 2021, -75.117998, 40.004866, @8EightPillars https://t.co/QzqoehW7QW 
andy_muan, Sat Jan 30 01:56:44 +0000 2021, -86.846753, 40.407236, update!! @UPS!! lost!!!!!! our! package!!!!!!!!! 
mitzuhiten, Sat Jan 30 01:56:44 +0000 2021, -83.269058, 42.664684, @stillgray Hyeah no stupid assenstiens. You arent right about anything. 
kimbrwolf, Sat Jan 30 01:56:44 +0000 2021, -78.298172, 36.095431, Big @efblaze energy here 
MsDragoo, Sat Jan 30 01:56:44 +0000 2021, -97.285913, 32.779967, @leslie_slovak Thanks for coming and supporting! We appreciate it! #rosdwevegotthis 
TheEsq_of_212, Sat Jan 30 01:56:44 +0000 2021, -80.846785, 35.209059, @brithume And now the vaccine. The plan is going off without even so much as hitch because people are brain dead.… https://t.co/XGyDINksJz 
Ambasdr_of_Kwan, Sat Jan 30 01:56:44 +0000 2021, -97.672732, 30.519340, https://t.co/RrCi6utjRN 
becca_stitt, Sat Jan 30 01:56:45 +0000 2021, -119.025163, 35.346902, And I’d do it again 👏🏻 
Stylin_Ryland, Sat Jan 30 01:56:45 +0000 2021, -79.857363, 36.090397, Westbrook down 20 to ATL. God I love it! 
bobdylandude, Sat Jan 30 01:56:45 +0000 2021, -71.421832, 41.817084, @RealTimBlack Projecting* 
Zealous_Libra, Sat Jan 30 01:56:45 +0000 2021, -87.732013, 41.833585, @denalifox 💜💜💜💜 
ed_tales, Sat Jan 30 01:56:45 +0000 2021, -80.122619, 26.721896, https://t.co/G3xp4r42Zn 
wahoocup, Sat Jan 30 01:56:45 +0000 2021, -77.481100, 37.519800, Really delicious with the sour side playing seamlessly with the belgian ale side - Drinking a Monumental Serve by B… https://t.co/O247FahJGi 
Loreennaa26, Sat Jan 30 01:56:45 +0000 2021, -118.411907, 34.020789, Officially done with Greys 😰 
ivin_gzz, Sat Jan 30 01:56:45 +0000 2021, -75.770041, 42.746617, Deff ain’t fucking wit nobody mfs is not me 
spacexen, Sat Jan 30 01:56:45 +0000 2021, -117.851089, 33.842863, @lunatiicwave Insane 😍😍 
YouWillNever_N0, Sat Jan 30 01:56:45 +0000 2021, -73.948775, 40.655138, @SplishSplash94 I'm just fuckin witchu sexy lol lemme chill 
DarSton2020, Sat Jan 30 01:56:45 +0000 2021, -83.173867, 32.678207, @synedra @tracy_1776 @marwilliamson @kylegriffin1 Do you have sources to back up that claim? 
OleSkoolRaiders, Sat Jan 30 01:56:45 +0000 2021, -111.528078, 33.422364, @ShaunaAriaDDay https://t.co/9S5A15PiYp 
Giaunasjazz, Sat Jan 30 01:56:45 +0000 2021, -91.585191, 41.698276, @denalifox !!!!!!! #DragRace 
GOSU49, Sat Jan 30 01:56:45 +0000 2021, -118.876498, 34.283083, @terrenceray102 @jefftimmer @RudyGiuliani Can you try that again in English? 
PortiaMonicaaa, Sat Jan 30 01:56:45 +0000 2021, -71.471072, 41.431235, Must be nice 
jangal818, Sat Jan 30 01:56:46 +0000 2021, -73.022108, 41.566578, It hits different when someone you know passes from covid. 
coachmo76, Sat Jan 30 01:56:46 +0000 2021, -80.334660, 41.004261, RIP Coach 
Cavalli512, Sat Jan 30 01:56:46 +0000 2021, -96.761753, 32.819858, @Shav457 FADE ARI 📈👍🏽 
crazy_oj_23, Sat Jan 30 01:56:46 +0000 2021, -83.804475, 27.698682, i’m on my shit rn , in my own lane 🔮💪🏽 
plasticmartyr, Sat Jan 30 01:56:46 +0000 2021, -118.411907, 34.020789, @jack And far between? 
JoeEde, Sat Jan 30 01:56:46 +0000 2021, -93.262046, 44.970610, Survivors of the HIV/AIDS crisis remember the hidden epidemic forty years on https://t.co/zFNv1YVttf #ItsASin #NeverForget 
KySandy, Sat Jan 30 01:56:46 +0000 2021, -82.672376, 38.452657, What happened to overcharging in a criminal casein which the police and prosecutor add additional charges against a… https://t.co/EABC29tdC0 
Rosembe82517702, Sat Jan 30 01:56:46 +0000 2021, -76.803995, 38.983522, @YESENIAARAUJO07 Tiene un hermoso cabello 
yorknick11, Sat Jan 30 01:56:46 +0000 2021, -84.256458, 36.018012, I don’t know how I used to workout for 2 1/2 hours day and kill it the whole time. 😂 
shaneonyou_22, Sat Jan 30 01:56:47 +0000 2021, -122.435979, 37.770657, @kirb_stomp60 @Delta They both emailed me the weeks between the interview and training 
3000Sauce, Sat Jan 30 01:56:47 +0000 2021, -76.868493, 39.135849, That steak and shrimp on the air fryer 🤤 
Gmhidrogo, Sat Jan 30 01:56:47 +0000 2021, -71.088712, 42.313670, Girllllll 
_virginiaplain, Sat Jan 30 01:56:47 +0000 2021, -86.791549, 36.200008, @drums_wires @mikedawson010 I knew from a VERY, very young age I wanted to play the drums. Like Stephen. I learned… https://t.co/Pp4NAborYg 
_TeflonVon, Sat Jan 30 01:56:47 +0000 2021, -90.011008, 29.982601, I hate everything about this video. Tf 
Spoiled_Tot, Sat Jan 30 01:56:47 +0000 2021, -75.386460, 39.145024, i’m so in love with my new hair color 
bigal032, Sat Jan 30 01:56:47 +0000 2021, -85.768241, 37.822244, Watching every table get their food but ours... #CutTheCheck 😔🥴🥴☹️ 
ReeceElam, Sat Jan 30 01:56:47 +0000 2021, -97.542584, 32.887577, We actually put ourselves together⚡️💋 https://t.co/yMb4D5TJxu 
Carmelitaaaaa__, Sat Jan 30 01:56:47 +0000 2021, -117.462698, 34.108160, @Vramos5 
Sophecles, Sat Jan 30 01:56:47 +0000 2021, -73.831187, 40.670879, @DTParisi Haha. Done and done! 
mckinley_swan, Sat Jan 30 01:56:47 +0000 2021, -112.345978, 43.190300, If you have a friend that’s a recovering addict and the first thing you do when they get out of prison is get them… https://t.co/T851K7s9t5 
kcgatlarge, Sat Jan 30 01:56:47 +0000 2021, -120.882482, 47.273022, @climatebrad It’s tactical too:- divide and conquer- don’t address equity so appeals to economic fear (“only elit… https://t.co/PzPNgQnrAb 
byst, Sat Jan 30 01:56:47 +0000 2021, -84.433106, 33.767195, 🍯 🌶 https://t.co/cafoBJ8Hlc 
GSDOUBLEU, Sat Jan 30 01:56:48 +0000 2021, -122.435979, 37.770657, @frankgore Two legends 
danvilleburton, Sat Jan 30 01:56:48 +0000 2021, -86.504284, 39.763665, @TravisAllen02 The Godmother 
micuhtron, Sat Jan 30 01:56:48 +0000 2021, -121.896165, 37.431473, @v4mpb4by true don’t tell my friends tho i’m targeting one of them 
mckinley_swan, Sat Jan 30 01:56:48 +0000 2021, -112.345978, 43.190300, I think he should of went out of state with his mom. None of his friends care about his well being. You’re all toxic af. 
pacostereo_1, Sat Jan 30 01:56:48 +0000 2021, -116.929102, 32.332876, 😱😱 
hmatisse88, Sat Jan 30 01:56:48 +0000 2021, -118.099390, 34.045410, #tunatime @ Tozai food market https://t.co/zgTkMUAJSg 
KUHoopes, Sat Jan 30 01:56:48 +0000 2021, -98.319925, 38.498196, AAUP Letter Advises Kansas Conference on Recent "COVID Exception" Termination Policyhttps://t.co/Bexzrh3quB 
swolfer913, Sat Jan 30 01:56:48 +0000 2021, -94.808085, 38.886623, #InThisTogether #dogearmy #DOGE #dogecointo1dollar #cryptocurrency #FridayMotivation #MoneyMaker 
shotbydominque, Sat Jan 30 01:56:49 +0000 2021, -118.411907, 34.020789, Wow really 😢 
TheEsq_of_212, Sat Jan 30 01:56:49 +0000 2021, -80.846785, 35.209059, And now the vaccine. The plan is going off without even so much as hitch because people are brain dead. Bill Gate… https://t.co/zlSOHyBuPN 
SB_Manning, Sat Jan 30 01:56:49 +0000 2021, -83.173867, 32.678207, Y’all know what’s not fun on a Friday night? If you guessed the hot water heater going out then you are clearly at… https://t.co/CJvmrT46cY 
notxcali, Sat Jan 30 01:56:49 +0000 2021, -97.552161, 35.482844, thank fucking god i got someone to come w me to señor shots i fucking love it 
Colbey_McBeth, Sat Jan 30 01:56:49 +0000 2021, -81.367525, 40.448972, Okayyyy @Indians 👀 this is what we like to see 
mkay_shanae, Sat Jan 30 01:56:50 +0000 2021, -79.857363, 36.090397, @heymansaymanjiy good look!✊🏽 
t0mcoady, Sat Jan 30 01:56:50 +0000 2021, -73.901969, 40.593883, Just posted a photo @ Floyd Bennett Airfield https://t.co/aaSaHLnVPd 
felipesancheztv, Sat Jan 30 01:56:50 +0000 2021, -73.831187, 40.670879, Yo simplemente espero que los mamertos no empiecen una campaña en contra de las vacunas. Pidieron vacunas ahí las tienen. Los veré. 
kamalthefunman, Sat Jan 30 01:56:50 +0000 2021, -96.832009, 32.959788, https://t.co/W3eLuaiG6L 
jtaylor_65, Sat Jan 30 01:56:50 +0000 2021, -89.041554, 36.425302, That’s a final! Union City stats perfect in 2021 with a 68-65 win over Collierville. That’s 10 straight W’s for the… https://t.co/iSXrZbHFq6 
fiorellaharris, Sat Jan 30 01:56:50 +0000 2021, -117.397616, 33.935822, @robreiner Yesssss! 
Javier4Florida, Sat Jan 30 01:56:50 +0000 2021, -80.353332, 25.772288, @CindyPoloFL103 😎 
kristenhoops50, Sat Jan 30 01:56:50 +0000 2021, -80.926628, 33.631140, @BRgirlshoops @BR_Football_MA Congrats Cheryl!!!! 
shishujenn, Sat Jan 30 01:56:50 +0000 2021, -118.411907, 34.020789, @kencyjos @Klay_1223 @stanacxount @OnMyBlock @JessMarieGarcia @brettgray Great concept but poorly executed 
Bhris187, Sat Jan 30 01:56:51 +0000 2021, -118.411907, 34.020789, @stay_G_JC @skywalker_zen Down 
greg_dreyer, Sat Jan 30 01:56:51 +0000 2021, -93.389864, 41.938228, @DreyerCyCards @bweldon379 @Jeremy3Walter 
